0,5
1,9
0,20
1,24
0,36
1,40
0,50
1,54
0,65
1,69
0,80
1,85
0,95
1,99
0,111
1,114
0,125
1,129
0,140
1,144
0,156
1,160
0,170
1,174
0,185
1,189
0,200
1,204
0,215
1,219
0,231
1,235
0,245
1,249
0,260
1,264
0,275
1,280
0,290
1,294
0,306
1,309
0,320
1,324
0,335
1,339
0,350
1,355
0,365
1,369
0,381
1,384
0,395
1,399
0,410
1,414
0,426
1,430
0,440
1,444
0,455
1,459
0,470
1,474
0,485
1,489
0,501
1,505
0,515
1,519
0,530
1,534
0,545
1,550
0,560
1,564
0,576
1,579
0,590
1,594
0,605
1,609
0,621
1,625
0,635
1,639
0,650
1,654
0,665
1,669
0,680
1,684
0,696
1,700
0,710
1,714
0,725
1,729
0,740
1,745
0,755
1,759
0,771
1,774
0,785
1,789
0,800
1,804
0,815
1,820
0,830
1,834
0,846
1,849
0,860
1,864
0,875
1,879
0,891
1,895
0,905
1,909
0,920
1,924
0,935
1,939
0,950
1,954
0,966
1,970
0,980
