0,2,10,0,36
2,2,10,0,81
3,2,10,0,27
4,2,10,0,56
6,2,10,0,78
7,2,10,0,56
8,2,10,0,79
0,3,10,0,36
0,3,2,0,60
0,3,3,0,33
2,3,10,0,81
2,3,3,0,87
3,3,10,0,27
3,3,2,0,88
4,3,10,0,56
4,3,2,0,25
4,3,3,0,64
5,3,3,0,58
6,3,10,0,78
6,3,2,0,38
7,3,10,0,56
7,3,3,0,37
8,3,10,0,79
8,3,2,0,76
9,3,3,0,24
10,3,2,0,84
10,3,3,0,35
0,5,10,0,36
0,5,2,0,60
0,5,3,0,33
0,5,7,0,42
2,5,10,0,81
2,5,3,0,87
2,5,7,0,93
3,5,10,0,27
3,5,2,0,88
3,5,7,0,32
4,5,10,0,56
4,5,2,0,25
4,5,3,0,64
4,5,7,0,71
5,5,3,0,58
5,5,7,0,78
6,5,10,0,78
6,5,2,0,38
6,5,7,0,60
7,5,10,0,56
7,5,3,0,37
8,5,10,0,79
8,5,2,0,76
8,5,7,0,30
9,5,3,0,24
9,5,7,0,46
10,5,2,0,84
10,5,3,0,35
10,5,7,0,66
0,6,10,0,36
0,6,2,0,60
0,6,3,0,33
0,6,7,0,42
2,6,10,0,81
2,6,3,0,87
2,6,7,0,93
2,6,5,0,60
3,6,10,0,27
3,6,2,0,88
3,6,7,0,32
3,6,5,0,58
3,6,9,0,28
4,6,10,0,56
4,6,2,0,25
4,6,3,0,64
4,6,7,0,71
4,6,9,0,97
5,6,3,0,58
5,6,7,0,78
6,6,10,0,78
6,6,2,0,38
6,6,7,0,60
6,6,5,0,70
7,6,10,0,56
7,6,3,0,37
7,6,5,0,79
8,6,10,0,79
8,6,2,0,76
8,6,7,0,30
8,6,5,0,90
8,6,9,0,84
9,6,3,0,24
9,6,7,0,46
9,6,5,0,81
10,6,2,0,84
10,6,3,0,35
10,6,7,0,66
10,6,5,0,32
10,6,9,0,51
0,7,10,0,36
0,7,2,0,60
0,7,3,0,33
0,7,7,0,42
2,7,10,0,81
2,7,3,0,87
2,7,7,0,93
2,7,5,0,60
2,7,8,0,79
3,7,10,0,27
3,7,2,0,88
3,7,7,0,32
3,7,5,0,58
3,7,9,0,28
3,7,0,52,31
3,7,8,0,59
4,7,10,0,56
4,7,2,0,25
4,7,3,0,64
4,7,7,0,71
4,7,9,0,97
4,7,8,0,64
5,7,3,0,58
5,7,7,0,78
5,7,0,52,44
5,7,8,0,86
6,7,10,0,78
6,7,2,0,38
6,7,7,0,60
6,7,5,0,70
6,7,0,52,40
6,7,8,0,36
7,7,10,0,56
7,7,3,0,37
7,7,5,0,79
7,7,0,52,39
7,7,8,0,34
8,7,10,0,79
8,7,2,0,76
8,7,7,0,30
8,7,5,0,90
8,7,9,0,84
8,7,0,52,46
9,7,3,0,24
9,7,7,0,46
9,7,5,0,81
9,7,0,52,63
9,7,8,0,87
10,7,2,0,84
10,7,3,0,35
10,7,7,0,66
10,7,5,0,32
10,7,9,0,51
10,7,0,52,43
10,7,8,0,88
0,9,10,0,36
0,9,2,0,60
0,9,3,0,33
