0,0,1,1,51,51,0,0
1,0,1,1,50,54,0,0
2,0,1,1,0,0,0,0
3,0,1,1,0,0,0,0
4,0,1,1,0,0,0,0
5,0,1,1,0,0,0,0
6,0,1,1,0,0,0,0
7,0,1,1,0,0,0,0
8,0,1,1,0,0,0,0
9,0,1,1,0,0,0,0
10,0,1,1,0,0,0,0
0,1,1,1,51,51,0,0
1,1,1,1,50,54,0,0
2,1,1,1,0,0,0,0
3,1,1,1,0,0,0,0
4,1,1,1,0,0,0,0
5,1,1,1,0,0,0,0
6,1,1,1,0,0,0,0
7,1,1,1,0,0,0,0
8,1,1,1,0,0,0,0
9,1,1,1,0,0,0,0
10,1,1,1,0,0,0,0
0,2,1,1,51,51,0,1
1,2,1,1,50,54,0,0
2,2,1,1,0,0,0,1
3,2,1,1,0,0,0,1
4,2,1,1,0,0,0,1
5,2,1,1,0,0,0,0
6,2,1,1,0,0,0,1
7,2,1,1,0,0,0,1
8,2,1,1,0,0,0,1
9,2,1,1,0,0,0,0
10,2,1,1,0,0,0,0
0,3,1,1,51,51,0,3
1,3,1,1,50,54,0,0
2,3,1,1,0,0,0,2
3,3,1,1,0,0,0,2
4,3,1,1,0,0,0,3
5,3,1,1,0,0,0,1
6,3,1,1,0,0,0,2
7,3,1,1,0,0,0,2
8,3,1,1,0,0,0,2
9,3,1,1,0,0,0,1
10,3,1,1,0,0,0,2
0,5,1,1,51,51,0,4
1,5,1,1,50,54,0,0
2,5,1,1,0,0,0,3
3,5,1,1,0,0,0,3
4,5,1,1,0,0,0,4
5,5,1,1,0,0,0,2
6,5,1,1,0,0,0,3
7,5,1,1,0,0,0,2
8,5,1,1,0,0,0,3
9,5,1,1,0,0,0,2
10,5,1,1,0,0,0,3
0,6,1,1,51,51,0,4
1,6,1,1,50,54,0,0
2,6,1,1,0,0,0,4
3,6,1,1,0,0,0,5
4,6,1,1,0,0,0,5
5,6,1,1,0,0,0,2
6,6,1,1,0,0,0,4
7,6,1,1,0,0,0,3
8,6,1,1,0,0,0,5
9,6,1,1,0,0,0,3
10,6,1,1,0,0,0,5
0,7,1,1,51,51,0,4
1,7,1,1,50,54,0,0
2,7,1,1,0,0,0,5
3,7,1,1,0,0,0,7
4,7,1,1,0,0,0,6
5,7,1,1,0,0,0,4
6,7,1,1,0,0,0,6
7,7,1,1,0,0,0,5
8,7,1,1,0,0,0,6
9,7,1,1,0,0,0,5
10,7,1,1,0,0,0,7
0,9,1,1,51,51,0,4
1,9,1,1,50,54,0,0
2,9,1,1,0,0,0,5
3,9,1,1,0,0,0,7
4,9,1,1,0,0,0,6
5,9,1,1,0,0,0,4
6,9,1,1,0,0,0,6
7,9,1,1,0,0,0,5
8,9,1,1,0,0,0,6
9,9,1,1,0,0,0,5
10,9,1,1,0,0,0,7
0,10,1,1,51,51,0,4
1,10,1,1,50,54,0,0
2,10,1,1,0,0,0,5
3,10,1,1,0,0,0,7
4,10,1,1,0,0,0,6
5,10,1,1,0,0,0,4
6,10,1,1,0,0,0,6
7,10,1,1,0,0,0,5
8,10,1,1,0,0,0,6
9,10,1,1,0,0,0,5
10,10,1,1,0,0,0,7
0,11,1,1,51,51,0,4
1,11,1,1,50,54,0,0
2,11,1,1,0,0,0,5
3,11,1,1,0,0,0,7
4,11,1,1,0,0,0,6
5,11,1,1,0,0,0,4
6,11,1,1,0,0,0,6
7,11,1,1,0,0,0,5
8,11,1,1,0,0,0,6
9,11,1,1,0,0,0,5
10,11,1,1,0,0,0,7
0,12,1,1,51,51,0,4
1,12,1,1,50,54,0,0
2,12,1,1,0,0,0,5
3,12,1,1,0,0,0,7
4,12,1,1,0,0,0,6
5,12,1,1,0,0,0,4
6,12,1,1,0,0,0,6
7,12,1,1,0,0,0,5
8,12,1,1,0,0,0,6
9,12,1,1,0,0,0,5
10,12,1,1,0,0,0,7
0,14,1,1,51,51,0,5
1,14,1,1,50,54,0,0
2,14,1,1,0,0,0,5
3,14,1,1,0,0,0,8
4,14,1,1,0,0,0,7
5,14,1,1,0,0,0,5
6,14,1,1,0,0,0,6
7,14,1,1,0,0,0,6
8,14,1,1,0,0,0,6
9,14,1,1,0,0,0,5
10,14,1,1,0,0,0,8
