3,1441,2
0,1441,3
1,1441,3
2,1445,0
3,1445,0
2,1449,1
1,1456,2
3,1456,2
0,1456,3
1,1456,3
2,1456,3
3,1460,0
2,1464,1
1,1471,2
3,1471,2
0,1471,3
1,1471,3
2,1471,3
3,1475,0
2,1480,1
3,1486,2
0,1486,3
1,1486,3
2,1486,3
3,1490,0
2,1494,1
3,1494,1
1,1502,2
0,1502,3
3,1506,0
2,1509,1
3,1509,1
1,1516,2
3,1516,2
1,1516,3
2,1516,3
3,1520,0
2,1524,1
3,1524,1
3,1531,2
0,1531,3
1,1531,3
3,1535,0
2,1539,1
3,1539,1
1,1546,2
3,1546,2
0,1546,3
1,1546,3
2,1546,3
3,1551,0
2,1555,1
1,1561,2
3,1561,2
1,1561,3
2,1561,3
3,1565,0
2,1569,1
3,1569,1
1,1577,2
3,1577,2
0,1577,3
2,1577,3
3,1580,0
2,1584,1
3,1584,1
1,1591,2
3,1591,2
0,1591,3
2,1599,1
3,1599,1
1,1606,2
3,1606,2
0,1606,3
1,1606,3
2,1606,3
3,1610,0
2,1614,1
3,1614,1
1,1621,2
3,1621,2
0,1621,3
1,1621,3
2,1621,3
2,1630,1
3,1630,1
1,1636,2
3,1636,2
0,1636,3
1,1636,3
2,1636,3
3,1640,0
2,1644,1
3,1644,1
1,1652,2
3,1652,2
0,1652,3
1,1652,3
2,1652,3
3,1655,0
2,1659,1
3,1659,1
1,1666,2
3,1666,2
0,1666,3
2,1666,3
3,1670,0
2,1675,1
3,1675,1
1,1681,2
0,1681,3
1,1681,3
2,1681,3
2,1689,1
3,1689,1
3,1697,2
0,1697,3
1,1697,3
2,1697,3
3,1701,0
2,1704,1
3,1704,1
1,1711,2
3,1711,2
0,1711,3
1,1711,3
2,1711,3
3,1715,0
2,1719,1
1,1726,2
3,1726,2
0,1726,3
1,1726,3
3,1730,0
0,1741,3
1,1741,3
2,1741,3
3,1745,0
2,1750,1
3,1750,1
1,1756,2
3,1756,2
0,1756,3
2,1756,3
3,1760,0
3,1764,1
1,1772,2
3,1772,2
0,1772,3
2,1772,3
3,1776,0
2,1779,1
1,1786,2
3,1786,2
0,1786,3
2,1786,3
3,1790,0
2,1794,1
3,1794,1
1,1801,2
3,1801,2
0,1801,3
1,1801,3
2,1801,3
3,1805,0
2,1809,1
3,1809,1
0,1816,3
1,1816,3
2,1816,3
2,1825,1
3,1825,1
1,1831,2
3,1831,2
0,1831,3
1,1831,3
3,1835,0
3,1839,1
1,1847,2
3,1847,2
0,1847,3
1,1847,3
3,1850,0
2,1854,1
3,1854,1
1,1861,2
3,1861,2
0,1861,3
1,1861,3
2,1861,3
3,1865,0
2,1869,1
3,1869,1
1,1876,2
3,1876,2
0,1876,3
2,1876,3
2,1884,1
3,1884,1
1,1892,2
0,1892,3
1,1892,3
2,1892,3
3,1896,0
2,1900,1
3,1900,1
1,1906,2
3,1906,2
0,1906,3
1,1906,3
2,1906,3
2,1914,1
3,1914,1
3,1921,2
0,1921,3
1,1921,3
3,1925,0
2,1929,1
3,1929,1
3,1936,2
0,1936,3
1,1936,3
2,1936,3
3,1940,0
2,1945,1
1,1951,2
1,1951,3
2,1951,3
3,1955,0
2,1959,1
3,1959,1
1,1967,2
3,1967,2
2,1967,3
2,1974,1
3,1974,1
1,1981,2
3,1981,2
0,1981,3
2,1981,3
3,1985,0
2,1989,1
3,1989,1
1,1996,2
3,1996,2
0,1996,3
1,1996,3
2,1996,3
3,2000,0
2,2004,1
3,2004,1
1,2011,2
3,2011,2
0,2011,3
1,2011,3
2,2011,3
3,2016,0
2,2020,1
3,2020,1
1,2026,2
3,2026,2
1,2026,3
2,2026,3
